gain_db,fft_size,window,peak_power_dbm,noise_floor_dbm,snr_db,num_frames_averaged
10.0,1024,hann,-34.26,-60.39,26.13,440
10.0,1024,hamming,-34.26,-60.38,26.12,440
10.0,1024,blackman,-34.28,-60.39,26.11,440
10.0,1024,blackmanharris,-34.27,-60.37,26.1,440
10.0,2048,hann,-36.78,-63.4,26.61,220
10.0,2048,hamming,-36.71,-63.41,26.71,220
10.0,2048,blackman,-36.85,-63.38,26.53,220
10.0,2048,blackmanharris,-36.86,-63.37,26.52,220
10.0,4096,hann,-37.95,-66.49,28.54,110
10.0,4096,hamming,-37.94,-66.5,28.55,110
10.0,4096,blackman,-37.99,-66.48,28.49,110
10.0,4096,blackmanharris,-38.09,-66.46,28.38,110
10.0,8192,hann,-40.58,-69.55,28.96,55
10.0,8192,hamming,-40.53,-69.56,29.03,55
10.0,8192,blackman,-40.69,-69.55,28.86,55
10.0,8192,blackmanharris,-40.8,-69.55,28.75,55
15.0,1024,hann,-29.7,-57.33,27.63,440
15.0,1024,hamming,-29.7,-57.35,27.65,440
15.0,1024,blackman,-29.75,-57.3,27.55,440
15.0,1024,blackmanharris,-29.79,-57.31,27.52,440
15.0,2048,hann,-32.02,-60.39,28.37,220
15.0,2048,hamming,-32.02,-60.4,28.38,220
15.0,2048,blackman,-32.02,-60.37,28.34,220
15.0,2048,blackmanharris,-32.05,-60.35,28.3,220
15.0,4096,hann,-33.72,-63.4,29.68,110
15.0,4096,hamming,-33.64,-63.43,29.79,110
15.0,4096,blackman,-33.82,-63.39,29.58,110
15.0,4096,blackmanharris,-33.96,-63.4,29.44,110
15.0,8192,hann,-35.92,-66.41,30.49,55
15.0,8192,hamming,-35.91,-66.45,30.54,55
15.0,8192,blackman,-36.01,-66.38,30.38,55
15.0,8192,blackmanharris,-36.14,-66.37,30.23,55
20.0,1024,hann,-25.53,-54.26,28.73,440
20.0,1024,hamming,-25.57,-54.26,28.69,440
20.0,1024,blackman,-25.52,-54.26,28.74,440
20.0,1024,blackmanharris,-25.52,-54.24,28.72,440
20.0,2048,hann,-27.93,-57.21,29.28,220
20.0,2048,hamming,-27.92,-57.2,29.28,220
20.0,2048,blackman,-28.0,-57.19,29.2,220
20.0,2048,blackmanharris,-28.08,-57.2,29.12,220
20.0,4096,hann,-29.36,-60.27,30.91,110
20.0,4096,hamming,-29.33,-60.29,30.96,110
20.0,4096,blackman,-29.46,-60.26,30.8,110
20.0,4096,blackmanharris,-29.62,-60.26,30.64,110
20.0,8192,hann,-31.17,-63.29,32.11,55
20.0,8192,hamming,-31.16,-63.32,32.17,55
20.0,8192,blackman,-31.28,-63.27,32.0,55
20.0,8192,blackmanharris,-31.42,-63.28,31.86,55
25.0,1024,hann,-20.19,-49.92,29.73,440
25.0,1024,hamming,-20.22,-49.92,29.7,440
25.0,1024,blackman,-20.17,-49.94,29.77,440
25.0,1024,blackmanharris,-20.17,-49.93,29.76,440
25.0,2048,hann,-22.69,-52.99,30.3,220
25.0,2048,hamming,-22.64,-52.99,30.35,220
25.0,2048,blackman,-22.72,-52.96,30.24,220
25.0,2048,blackmanharris,-22.76,-52.95,30.2,220
25.0,4096,hann,-24.17,-55.88,31.7,110
25.0,4096,hamming,-24.19,-55.86,31.67,110
25.0,4096,blackman,-24.16,-55.89,31.72,110
25.0,4096,blackmanharris,-24.21,-55.86,31.66,110
25.0,8192,hann,-26.61,-58.93,32.33,55
25.0,8192,hamming,-26.63,-58.94,32.31,55
25.0,8192,blackman,-26.54,-58.91,32.37,55
25.0,8192,blackmanharris,-26.52,-58.9,32.37,55
30.0,1024,hann,-15.9,-46.49,30.59,440
30.0,1024,hamming,-15.89,-46.51,30.62,440
30.0,1024,blackman,-15.92,-46.46,30.55,440
30.0,1024,blackmanharris,-15.94,-46.47,30.53,440
30.0,2048,hann,-18.02,-49.45,31.43,220
30.0,2048,hamming,-18.0,-49.45,31.44,220
30.0,2048,blackman,-18.03,-49.44,31.41,220
30.0,2048,blackmanharris,-18.1,-49.47,31.37,220
30.0,4096,hann,-19.93,-52.27,32.34,110
30.0,4096,hamming,-19.93,-52.27,32.35,110
30.0,4096,blackman,-19.96,-52.27,32.31,110
30.0,4096,blackmanharris,-20.0,-52.29,32.29,110
30.0,8192,hann,-22.11,-55.13,33.02,55
30.0,8192,hamming,-22.09,-55.15,33.06,55
30.0,8192,blackman,-22.08,-55.11,33.03,55
30.0,8192,blackmanharris,-22.1,-55.12,33.02,55
